,LoanID,Age,Income,LoanAmount,CreditScore,MonthsEmployed,NumCreditLines,InterestRate,LoanTerm,DTIRatio,Education,EmploymentType,MaritalStatus,HasMortgage,HasDependents,LoanPurpose,HasCoSigner,Default
170,PY0C08S9G2,46.0,15192.0,152778.0,734.0,115.0,2.0,22.42,60.0,0.47,PhD,Part-time,Married,Yes,No,Auto,Yes,1.0
177,8T3I0PTR35,45.0,107954.0,100080.0,609.0,18.0,4.0,16.02,48.0,0.29,High School,Full-time,Single,No,Yes,Home,Yes,1.0
178,8VKPI6WZUY,19.0,25678.0,134161.0,705.0,63.0,3.0,21.18,60.0,0.2,Bachelor's,Full-time,Divorced,Yes,No,Education,No,1.0
180,L5KGFM6KRD,62.0,58724.0,92125.0,674.0,77.0,2.0,20.87,24.0,0.26,High School,Unemployed,Married,Yes,No,Other,Yes,1.0
199,EMQV99WWV5,56.0,107124.0,249352.0,317.0,24.0,4.0,18.13,60.0,0.86,High School,Full-time,Divorced,No,No,Education,No,1.0
203,UK4OH3F6QS,26.0,47398.0,155340.0,334.0,88.0,3.0,15.39,36.0,0.75,PhD,Full-time,Married,No,Yes,Other,No,1.0
210,T94W6YTVZJ,32.0,125786.0,239618.0,338.0,73.0,4.0,7.99,36.0,0.79,High School,Self-employed,Divorced,Yes,No,Business,No,1.0
222,SA71L2XLZ2,20.0,101465.0,179673.0,366.0,13.0,2.0,24.03,24.0,0.6,PhD,Full-time,Married,Yes,Yes,Education,No,1.0
226,HOMRI5ZWJN,34.0,117943.0,231285.0,337.0,81.0,1.0,14.66,48.0,0.9,Bachelor's,Self-employed,Married,Yes,Yes,Education,No,1.0
245,H2L9D20SWT,34.0,75449.0,214723.0,466.0,9.0,4.0,13.31,24.0,0.61,PhD,Unemployed,Single,No,No,Other,No,1.0
251,ZTUHI6CYPN,23.0,74090.0,205698.0,571.0,39.0,3.0,16.93,36.0,0.62,Bachelor's,Part-time,Single,No,Yes,Home,Yes,1.0
261,FZTU40EMDO,20.0,18625.0,58127.0,643.0,84.0,4.0,12.12,60.0,0.55,Bachelor's,Unemployed,Married,Yes,No,Other,No,1.0
267,YUSOXYNZ8S,36.0,36766.0,238080.0,841.0,7.0,2.0,10.38,24.0,0.3,High School,Self-employed,Married,Yes,No,Business,Yes,1.0
280,UZUW6Q652D,45.0,146321.0,148088.0,304.0,106.0,2.0,18.69,24.0,0.5,PhD,Part-time,Married,Yes,No,Education,No,1.0
323,OF97S6UIZS,52.0,125986.0,138424.0,745.0,99.0,3.0,14.46,36.0,0.88,High School,Full-time,Married,No,Yes,Auto,Yes,1.0
337,J7C6VENGA7,31.0,94001.0,186700.0,808.0,26.0,4.0,9.97,60.0,0.41,High School,Full-time,Divorced,Yes,No,Business,Yes,1.0
347,D1YUL3KAXH,29.0,76596.0,161843.0,374.0,67.0,4.0,19.31,48.0,0.21,Bachelor's,Full-time,Married,Yes,No,Other,No,1.0
353,VG1SKR3YP0,55.0,144351.0,153788.0,814.0,35.0,3.0,16.42,48.0,0.55,Master's,Self-employed,Divorced,Yes,No,Other,No,1.0
361,VQV9D7EKI1,38.0,37962.0,143441.0,679.0,17.0,2.0,17.12,24.0,0.3,Master's,Full-time,Divorced,No,Yes,Education,Yes,1.0
366,JLQY46QMF8,50.0,18906.0,194770.0,635.0,4.0,3.0,10.52,12.0,0.48,Bachelor's,Self-employed,Divorced,Yes,No,Auto,No,1.0
367,BLQBPDCVI7,22.0,28117.0,212209.0,695.0,83.0,3.0,22.09,48.0,0.15,Bachelor's,Unemployed,Married,Yes,No,Other,Yes,1.0
375,E4O8XT853B,45.0,66737.0,20903.0,413.0,108.0,4.0,10.26,24.0,0.8,PhD,Unemployed,Single,No,No,Business,Yes,1.0
376,55QXQCYB9R,47.0,111570.0,105113.0,551.0,50.0,3.0,14.17,48.0,0.82,PhD,Full-time,Divorced,No,No,Auto,Yes,1.0
377,0A8R85UWUK,46.0,21073.0,52020.0,773.0,115.0,1.0,5.07,12.0,0.2,Master's,Part-time,Married,Yes,No,Business,Yes,1.0
389,SFFFHRLQX8,50.0,80680.0,175937.0,732.0,11.0,3.0,14.5,12.0,0.38,Bachelor's,Unemployed,Divorced,Yes,No,Other,No,1.0
400,TJ35Z2OW75,20.0,70614.0,112869.0,506.0,60.0,1.0,8.09,36.0,0.78,High School,Part-time,Divorced,Yes,Yes,Education,Yes,1.0
420,8ZVJNGSJ0Y,56.0,60506.0,226352.0,505.0,58.0,3.0,18.01,60.0,0.38,Bachelor's,Self-employed,Divorced,No,No,Education,Yes,1.0
448,PBJZ9UJY6G,68.0,145503.0,183534.0,316.0,18.0,3.0,18.11,36.0,0.44,Bachelor's,Self-employed,Single,No,Yes,Education,No,1.0
460,IKILYWC4L2,25.0,101427.0,108922.0,676.0,58.0,3.0,21.2,12.0,0.39,Bachelor's,Self-employed,Single,Yes,No,Business,Yes,1.0
463,E6HZS2CVK4,22.0,78113.0,152672.0,648.0,11.0,2.0,10.59,60.0,0.55,Bachelor's,Part-time,Single,No,No,Home,Yes,1.0
480,JD3KD78VZ6,36.0,25188.0,160349.0,452.0,1.0,4.0,19.17,12.0,0.18,High School,Part-time,Divorced,No,Yes,Education,Yes,1.0
483,SOC12VRRCH,45.0,16293.0,96872.0,420.0,90.0,1.0,7.78,24.0,0.54,Bachelor's,Part-time,Divorced,Yes,No,Auto,No,1.0
491,P5LXL995UO,18.0,50554.0,97542.0,806.0,19.0,3.0,11.42,48.0,0.61,Master's,Unemployed,Married,Yes,Yes,Home,No,1.0
499,6C4RPPAFYT,18.0,43449.0,185965.0,794.0,50.0,2.0,20.46,24.0,0.58,PhD,Full-time,Single,No,No,Other,Yes,1.0
515,57PNK6I3ZO,22.0,53070.0,240525.0,646.0,29.0,4.0,19.45,60.0,0.67,Master's,Self-employed,Married,Yes,Yes,Home,Yes,1.0
528,1WI7TV5RW2,56.0,119186.0,161509.0,594.0,58.0,4.0,22.22,48.0,0.37,Bachelor's,Self-employed,Divorced,Yes,No,Home,Yes,1.0
543,457K8IFCP1,18.0,143478.0,112408.0,424.0,53.0,3.0,24.69,12.0,0.77,Master's,Unemployed,Married,No,Yes,Other,Yes,1.0
546,ETX4NW3PC3,21.0,113705.0,190061.0,761.0,85.0,3.0,3.67,12.0,0.43,Bachelor's,Unemployed,Married,No,Yes,Auto,Yes,1.0
557,NYFNIG01X8,29.0,70149.0,64556.0,493.0,43.0,2.0,5.09,24.0,0.24,PhD,Full-time,Single,Yes,Yes,Home,No,1.0
566,FRG0J5HRSC,20.0,20896.0,63256.0,802.0,53.0,4.0,18.0,60.0,0.48,High School,Unemployed,Single,Yes,Yes,Business,No,1.0
581,MM3IZQEBBS,52.0,33958.0,247790.0,833.0,44.0,1.0,22.6,12.0,0.64,Bachelor's,Self-employed,Divorced,No,No,Education,No,1.0
585,ODED3DOENT,25.0,26990.0,137843.0,387.0,57.0,2.0,15.82,12.0,0.58,Master's,Unemployed,Married,No,Yes,Auto,No,1.0
593,0XDG6EEKI1,24.0,36821.0,210620.0,326.0,89.0,2.0,16.17,12.0,0.18,Bachelor's,Part-time,Divorced,Yes,No,Other,Yes,1.0
605,P0PRC9Q0FY,26.0,82611.0,47555.0,574.0,90.0,2.0,22.18,36.0,0.25,Bachelor's,Self-employed,Single,Yes,No,Auto,Yes,1.0
609,P3JUFHO6PK,52.0,132976.0,200185.0,330.0,88.0,3.0,9.33,36.0,0.18,High School,Part-time,Single,No,Yes,Home,No,1.0
618,U67AWK64TW,49.0,16677.0,87236.0,661.0,96.0,3.0,24.43,24.0,0.64,Bachelor's,Part-time,Married,Yes,No,Business,No,1.0
624,C7Y7P7CYSO,42.0,82659.0,173411.0,352.0,58.0,1.0,23.51,24.0,0.66,Master's,Unemployed,Single,Yes,Yes,Other,No,1.0
630,WAJ2MSQ7RO,37.0,114988.0,132196.0,440.0,13.0,1.0,23.41,60.0,0.3,High School,Unemployed,Married,No,Yes,Auto,No,1.0
638,A85A9QB3J5,29.0,36131.0,187481.0,313.0,14.0,3.0,2.36,12.0,0.37,Bachelor's,Unemployed,Divorced,No,Yes,Education,Yes,1.0
648,SLMQJ3U599,36.0,97891.0,79397.0,412.0,52.0,3.0,22.22,12.0,0.25,High School,Part-time,Married,No,No,Other,Yes,1.0
651,62UIBIHXWI,22.0,134935.0,132709.0,344.0,14.0,3.0,4.63,24.0,0.5,PhD,Unemployed,Married,Yes,No,Auto,No,1.0
653,PVT2GG3LB1,29.0,36472.0,227183.0,569.0,63.0,2.0,4.47,12.0,0.63,Bachelor's,Part-time,Married,Yes,No,Education,Yes,1.0
669,LJYVQM3FKQ,46.0,19198.0,16132.0,669.0,7.0,2.0,3.78,12.0,0.68,Bachelor's,Self-employed,Single,No,Yes,Auto,Yes,1.0
671,UJYY4LPOZW,28.0,132930.0,153620.0,783.0,111.0,3.0,20.31,36.0,0.53,High School,Full-time,Single,No,Yes,Business,No,1.0
672,PFVIH6MW2T,35.0,83909.0,40691.0,431.0,35.0,2.0,23.32,24.0,0.72,Bachelor's,Unemployed,Divorced,No,No,Business,Yes,1.0
679,Z4ZI2OS310,55.0,38306.0,102159.0,504.0,23.0,2.0,19.26,12.0,0.87,Master's,Part-time,Married,No,No,Auto,No,1.0
686,2N28Q0TGJK,67.0,88378.0,128283.0,455.0,55.0,2.0,19.26,24.0,0.52,Master's,Full-time,Divorced,No,No,Home,No,1.0
688,8O1QPWCWYC,19.0,44942.0,174008.0,368.0,50.0,4.0,14.23,60.0,0.21,High School,Part-time,Single,No,Yes,Other,No,1.0
689,F9VVMJSNSS,22.0,32454.0,223883.0,629.0,32.0,1.0,20.27,24.0,0.72,Bachelor's,Part-time,Single,No,Yes,Auto,No,1.0
697,95TOWRWJNS,18.0,120840.0,13027.0,663.0,63.0,2.0,20.29,24.0,0.45,Bachelor's,Unemployed,Divorced,Yes,No,Other,No,1.0
706,QSGPPNOK1C,23.0,19611.0,213162.0,809.0,8.0,3.0,19.94,12.0,0.71,High School,Self-employed,Single,No,Yes,Auto,No,1.0
711,JW6HWTZDKD,44.0,108365.0,65041.0,448.0,1.0,3.0,6.83,60.0,0.37,Master's,Unemployed,Divorced,No,Yes,Business,No,1.0
712,VH80M08JGN,27.0,74053.0,80444.0,495.0,117.0,3.0,16.9,48.0,0.15,Bachelor's,Part-time,Single,Yes,No,Other,No,1.0
723,9GFTMACQVE,25.0,94821.0,174217.0,843.0,59.0,3.0,23.54,36.0,0.34,PhD,Part-time,Divorced,Yes,Yes,Education,Yes,1.0
737,GHQO4YSOVS,49.0,106471.0,160262.0,642.0,53.0,1.0,15.6,48.0,0.74,Bachelor's,Self-employed,Married,No,Yes,Other,Yes,1.0
743,2CP27VTPK3,28.0,77002.0,82577.0,653.0,11.0,1.0,16.17,24.0,0.35,High School,Unemployed,Divorced,Yes,Yes,Auto,No,1.0
744,XV3HI1SVLY,54.0,113642.0,58679.0,569.0,82.0,2.0,19.85,24.0,0.15,High School,Part-time,Single,Yes,Yes,Business,No,1.0
751,26O6AEWA9J,58.0,86137.0,80907.0,673.0,82.0,2.0,20.61,12.0,0.15,PhD,Full-time,Married,No,Yes,Business,Yes,1.0
756,ZBOOTQ4870,18.0,109479.0,218820.0,312.0,27.0,1.0,20.69,60.0,0.83,Master's,Unemployed,Married,Yes,Yes,Auto,No,1.0
765,P9L4U6L4KB,25.0,80934.0,249065.0,364.0,33.0,1.0,11.51,60.0,0.85,Master's,Unemployed,Divorced,No,No,Auto,Yes,1.0
783,6DXSUN6BJH,26.0,138475.0,225937.0,495.0,33.0,1.0,20.16,36.0,0.6,Bachelor's,Unemployed,Divorced,No,Yes,Home,No,1.0
787,NXUGONSCVU,45.0,90796.0,97171.0,736.0,21.0,4.0,20.93,24.0,0.51,Bachelor's,Unemployed,Divorced,Yes,No,Education,No,1.0
793,QF7N49LCOY,23.0,104341.0,51096.0,334.0,76.0,4.0,17.35,48.0,0.22,Master's,Full-time,Divorced,No,Yes,Other,Yes,1.0
794,82ARHQQ5X3,35.0,30091.0,29306.0,441.0,25.0,2.0,18.36,48.0,0.51,Bachelor's,Part-time,Married,Yes,Yes,Auto,No,1.0
801,Y2YJNJ1WPZ,47.0,15680.0,180592.0,324.0,115.0,4.0,7.36,60.0,0.58,PhD,Self-employed,Married,No,Yes,Business,No,1.0
815,X2XZE6US84,39.0,88630.0,211642.0,482.0,77.0,1.0,18.25,48.0,0.14,Master's,Part-time,Single,Yes,No,Other,No,1.0
818,G5RZYYS1VE,30.0,111951.0,128924.0,571.0,108.0,4.0,14.64,48.0,0.83,PhD,Self-employed,Married,Yes,Yes,Business,No,1.0
833,7C2BCFZDVJ,20.0,123797.0,61278.0,507.0,45.0,3.0,7.1,12.0,0.73,Master's,Unemployed,Divorced,Yes,Yes,Business,No,1.0
839,KNKGIES0K8,36.0,49690.0,122050.0,409.0,96.0,4.0,10.09,36.0,0.48,PhD,Full-time,Divorced,Yes,No,Education,Yes,1.0
842,Y9K72ZBBLE,31.0,17909.0,120897.0,694.0,94.0,1.0,23.73,24.0,0.85,Bachelor's,Unemployed,Divorced,No,No,Other,No,1.0
849,JJATNATR17,21.0,27533.0,205199.0,507.0,80.0,2.0,9.79,48.0,0.77,Master's,Part-time,Single,Yes,No,Other,No,1.0
861,BXW370X5JB,20.0,124823.0,151232.0,416.0,22.0,2.0,24.32,36.0,0.17,PhD,Unemployed,Divorced,Yes,No,Auto,No,1.0
863,OPIKDZAV2B,29.0,64941.0,200048.0,497.0,45.0,4.0,24.47,36.0,0.34,PhD,Self-employed,Divorced,No,No,Education,No,1.0
864,Y60WAGDF8J,18.0,65143.0,106510.0,591.0,115.0,1.0,23.29,12.0,0.28,PhD,Unemployed,Married,No,Yes,Business,No,1.0
872,D18MVIJHEV,40.0,120344.0,56710.0,717.0,21.0,3.0,7.36,24.0,0.16,PhD,Unemployed,Divorced,No,Yes,Business,Yes,1.0
876,W4WU1VCZ05,31.0,16294.0,76789.0,566.0,66.0,1.0,18.68,60.0,0.59,Master's,Unemployed,Married,No,Yes,Home,No,1.0
878,DZYNJXPC2S,28.0,56921.0,174949.0,627.0,95.0,2.0,20.98,36.0,0.54,Master's,Unemployed,Married,Yes,No,Other,Yes,1.0
886,ARP38C897J,35.0,132208.0,98136.0,473.0,88.0,1.0,18.36,24.0,0.21,High School,Part-time,Single,Yes,Yes,Other,Yes,1.0
888,FHXQGYUL5Y,32.0,15584.0,158198.0,616.0,8.0,2.0,23.36,60.0,0.8,PhD,Full-time,Divorced,No,No,Home,No,1.0
895,IK81SLGAUS,41.0,105153.0,218518.0,739.0,101.0,4.0,15.7,48.0,0.62,Bachelor's,Self-employed,Single,Yes,Yes,Home,Yes,1.0
896,B50ERLVGZQ,32.0,148189.0,205917.0,398.0,50.0,2.0,22.45,36.0,0.26,High School,Self-employed,Single,Yes,No,Other,No,1.0
910,35A5JXBRRS,22.0,33703.0,191417.0,580.0,65.0,2.0,14.85,60.0,0.69,Master's,Unemployed,Divorced,No,No,Education,Yes,1.0
911,PF5NNK7L8B,51.0,118540.0,113482.0,482.0,117.0,3.0,21.58,24.0,0.54,PhD,Full-time,Married,No,Yes,Other,No,1.0
922,H22RS6N25R,33.0,21547.0,231309.0,450.0,84.0,4.0,22.27,60.0,0.62,High School,Self-employed,Married,No,Yes,Other,No,1.0
924,CFGL5OSWUS,28.0,83296.0,33184.0,760.0,34.0,2.0,22.87,60.0,0.37,Master's,Full-time,Divorced,Yes,No,Business,No,1.0
940,U64QW87XLT,38.0,69016.0,151210.0,438.0,23.0,3.0,20.11,36.0,0.34,Master's,Part-time,Married,No,No,Other,No,1.0
948,H6ZC6DCOET,18.0,127555.0,148097.0,374.0,7.0,4.0,22.5,24.0,0.73,PhD,Full-time,Single,No,Yes,Auto,Yes,1.0
949,CCBLKWDS4N,22.0,146381.0,77749.0,641.0,42.0,2.0,10.63,48.0,0.36,Master's,Part-time,Married,No,No,Education,No,1.0
978,R915XIQXGY,39.0,26296.0,159406.0,447.0,89.0,3.0,3.19,48.0,0.61,Bachelor's,Part-time,Divorced,Yes,No,Education,Yes,1.0
979,VH4ILD12SW,31.0,17216.0,151972.0,364.0,84.0,2.0,11.33,60.0,0.41,Bachelor's,Part-time,Divorced,Yes,Yes,Business,No,1.0
980,DU8Z16SPNZ,43.0,49123.0,114363.0,687.0,39.0,3.0,23.89,12.0,0.74,Master's,Self-employed,Married,No,No,Education,Yes,1.0
988,7PI14IVBRQ,31.0,64116.0,99949.0,328.0,81.0,2.0,17.6,12.0,0.62,Bachelor's,Full-time,Single,No,Yes,Home,Yes,1.0
1009,2ILZV1BA7Z,56.0,121596.0,116472.0,513.0,72.0,1.0,24.77,36.0,0.12,High School,Full-time,Married,No,No,Other,Yes,1.0
1011,D1U2DTSWC3,43.0,35293.0,218458.0,450.0,12.0,4.0,20.5,60.0,0.6,Bachelor's,Self-employed,Divorced,Yes,Yes,Auto,Yes,1.0
1047,7RYDD8SVKG,38.0,95633.0,249372.0,564.0,40.0,4.0,24.43,48.0,0.15,High School,Self-employed,Divorced,Yes,Yes,Auto,Yes,1.0
1058,JTMKZGU8BU,20.0,20136.0,149027.0,676.0,49.0,3.0,4.27,36.0,0.54,Bachelor's,Unemployed,Married,No,Yes,Other,No,1.0
1071,MCQNH73O2E,21.0,95198.0,48897.0,818.0,75.0,2.0,18.73,48.0,0.22,Bachelor's,Self-employed,Married,No,Yes,Auto,Yes,1.0
1076,QDHK4BIJWD,55.0,129587.0,206917.0,709.0,111.0,3.0,22.75,24.0,0.34,High School,Full-time,Divorced,Yes,No,Home,No,1.0
1078,FCGFHE7F4D,19.0,22753.0,215805.0,413.0,3.0,1.0,17.99,48.0,0.9,Master's,Full-time,Single,No,Yes,Home,Yes,1.0
1083,JQ038SOGKN,68.0,25729.0,118704.0,816.0,8.0,3.0,20.61,24.0,0.26,PhD,Full-time,Divorced,Yes,No,Other,No,1.0
1092,FDBOGSIB9T,50.0,122728.0,57501.0,624.0,73.0,2.0,4.7,48.0,0.61,Master's,Part-time,Divorced,Yes,No,Business,No,1.0
1115,1CGA6SEMTA,19.0,143266.0,133309.0,344.0,48.0,2.0,5.89,48.0,0.35,PhD,Unemployed,Single,Yes,Yes,Auto,No,1.0
1124,0BSK1ALGUN,26.0,40287.0,178649.0,758.0,54.0,3.0,21.99,12.0,0.29,High School,Full-time,Single,Yes,No,Auto,No,1.0
1144,4Y1Z9A7X3J,57.0,126343.0,32417.0,313.0,40.0,4.0,15.61,24.0,0.45,Bachelor's,Self-employed,Divorced,No,Yes,Auto,No,1.0
1147,8C82BIRII1,25.0,32808.0,109430.0,690.0,39.0,4.0,16.31,24.0,0.15,Bachelor's,Self-employed,Single,Yes,Yes,Education,No,1.0
1148,O1PW5TOG6R,28.0,134947.0,243678.0,622.0,35.0,1.0,9.69,36.0,0.62,Master's,Unemployed,Divorced,Yes,No,Other,No,1.0
1161,1BIUYM2XAW,42.0,15708.0,244029.0,487.0,71.0,4.0,4.38,24.0,0.59,PhD,Self-employed,Single,No,No,Auto,No,1.0
1192,0YPQG4TYC0,24.0,25105.0,146004.0,532.0,110.0,3.0,19.77,24.0,0.87,Master's,Unemployed,Married,No,No,Other,Yes,1.0
1221,DV59DCXNSP,48.0,125395.0,219103.0,662.0,108.0,1.0,13.97,12.0,0.78,Bachelor's,Part-time,Married,Yes,Yes,Business,No,1.0
1233,EZE85UYLZ0,21.0,127769.0,91780.0,467.0,51.0,1.0,21.92,48.0,0.63,Master's,Full-time,Single,Yes,Yes,Education,Yes,1.0
1241,ESTOJP9MPP,53.0,31561.0,86412.0,791.0,76.0,2.0,23.17,36.0,0.39,Master's,Unemployed,Divorced,No,Yes,Education,Yes,1.0
1246,NQRV4CRX62,22.0,60593.0,45137.0,730.0,102.0,2.0,14.99,36.0,0.6,PhD,Self-employed,Single,Yes,Yes,Other,No,1.0
1247,CXMRXU2L9K,37.0,43976.0,107889.0,339.0,27.0,1.0,4.06,60.0,0.28,PhD,Self-employed,Married,Yes,No,Home,No,1.0
1252,Q7Z5NWYBCZ,23.0,113761.0,109291.0,669.0,0.0,2.0,24.3,36.0,0.19,PhD,Unemployed,Divorced,No,No,Education,Yes,1.0
1273,JTC2WTIB3F,21.0,112071.0,162185.0,834.0,59.0,1.0,24.09,60.0,0.69,Master's,Full-time,Single,Yes,No,Education,Yes,1.0
1275,Z0L7GLUCNJ,54.0,19162.0,203075.0,643.0,23.0,3.0,16.97,24.0,0.1,High School,Self-employed,Single,No,No,Other,No,1.0
1281,GXH1RV5I3H,26.0,96165.0,23048.0,462.0,43.0,2.0,14.45,48.0,0.21,High School,Self-employed,Married,Yes,No,Home,No,1.0
1298,RMIDP4M6KH,18.0,137855.0,65904.0,683.0,17.0,2.0,23.18,48.0,0.5,PhD,Self-employed,Divorced,Yes,Yes,Auto,No,1.0
1299,4D6I91OZGB,68.0,17572.0,197616.0,529.0,100.0,4.0,19.55,36.0,0.17,Bachelor's,Self-employed,Divorced,Yes,Yes,Business,Yes,1.0
1317,U5XRPN8MAY,24.0,56908.0,110694.0,697.0,1.0,1.0,18.15,12.0,0.61,High School,Part-time,Single,No,No,Education,Yes,1.0
1327,HGL0NB2JFQ,42.0,74550.0,147553.0,335.0,11.0,2.0,13.05,36.0,0.37,High School,Part-time,Divorced,No,No,Home,Yes,1.0
1336,Q4X531F199,39.0,88168.0,91796.0,630.0,27.0,3.0,18.22,60.0,0.86,Master's,Self-employed,Single,No,No,Business,No,1.0
1359,7SXDZ9SJ6V,36.0,120804.0,77199.0,796.0,95.0,3.0,7.59,12.0,0.55,High School,Unemployed,Single,Yes,No,Education,Yes,1.0
1363,TX5TYNICG4,66.0,91625.0,15179.0,395.0,62.0,4.0,24.95,48.0,0.53,Bachelor's,Part-time,Divorced,No,Yes,Education,No,1.0
1380,36DX419BG7,47.0,120687.0,247525.0,499.0,47.0,1.0,24.65,12.0,0.2,Bachelor's,Part-time,Married,No,Yes,Education,Yes,1.0
1384,TYTSV6AURU,18.0,48455.0,228119.0,835.0,44.0,2.0,10.0,48.0,0.17,Master's,Self-employed,Divorced,No,Yes,Auto,No,1.0
1394,LREKRY170M,51.0,35926.0,233188.0,491.0,20.0,4.0,19.04,60.0,0.84,PhD,Unemployed,Married,Yes,Yes,Other,No,1.0
1403,DJMUIWJSMQ,18.0,131596.0,106256.0,800.0,29.0,4.0,22.68,48.0,0.64,Master's,Unemployed,Single,No,Yes,Auto,No,1.0
1405,BZLKDSNH0G,41.0,22029.0,114172.0,422.0,27.0,2.0,12.19,36.0,0.28,PhD,Part-time,Single,No,No,Home,No,1.0
1415,HFNX9DULSJ,25.0,60573.0,153517.0,614.0,54.0,1.0,22.99,36.0,0.85,Master's,Self-employed,Single,Yes,Yes,Education,No,1.0
1418,PU2Q9O4MEQ,49.0,104783.0,172196.0,729.0,39.0,3.0,18.57,48.0,0.69,Master's,Unemployed,Divorced,No,No,Home,No,1.0
1422,3OWF7EAP27,63.0,28936.0,216432.0,665.0,20.0,2.0,14.73,48.0,0.51,High School,Part-time,Married,No,No,Other,No,1.0
1428,C5EJRWDERY,38.0,16718.0,198480.0,330.0,1.0,2.0,6.78,60.0,0.74,Bachelor's,Full-time,Married,Yes,Yes,Business,Yes,1.0
1434,28A0XMGZZG,27.0,51347.0,244846.0,545.0,99.0,3.0,3.37,12.0,0.26,Bachelor's,Self-employed,Single,Yes,No,Home,Yes,1.0
1446,7A4F1L91QM,18.0,138455.0,130971.0,387.0,92.0,2.0,21.6,36.0,0.53,Master's,Part-time,Married,No,No,Auto,Yes,1.0
1461,YZE8PD2HXD,26.0,67389.0,5750.0,783.0,57.0,3.0,13.58,24.0,0.28,PhD,Part-time,Single,No,No,Business,Yes,1.0
1471,M98VLJ4UIZ,47.0,95650.0,175485.0,508.0,114.0,4.0,8.51,48.0,0.67,PhD,Part-time,Divorced,No,Yes,Business,No,1.0
1478,L3TJIDIIV0,34.0,99178.0,243471.0,348.0,17.0,1.0,22.88,48.0,0.25,High School,Part-time,Divorced,No,Yes,Business,No,1.0
1481,W0IX5OS06Q,57.0,54761.0,171874.0,612.0,66.0,2.0,12.74,60.0,0.14,Bachelor's,Part-time,Single,No,No,Home,Yes,1.0
1486,VIN98D9A9Y,26.0,127405.0,54710.0,378.0,84.0,4.0,6.31,24.0,0.34,Master's,Full-time,Single,Yes,No,Business,Yes,1.0
1498,R1CRA6IVJT,23.0,58412.0,103663.0,717.0,84.0,2.0,21.93,60.0,0.12,Bachelor's,Unemployed,Married,Yes,No,Auto,No,1.0
1508,Q3RIZ7AMD2,42.0,15887.0,139093.0,618.0,24.0,1.0,23.89,12.0,0.26,PhD,Unemployed,Married,No,No,Home,No,1.0
